file,candidate_source,note_index,pitch,ioi_from_prev_ticks,ioi_from_prev_sec,velocity,duration_ticks,duration_sec,onset_tick,onset_sec,next_ioi_ticks,next_ioi_sec,pedal1,pedal1_sample_tick,pedal1_sample_time_sec,pedal2,pedal2_sample_tick,pedal2_sample_time_sec,pedal3,pedal3_sample_tick,pedal3_sample_time_sec,pedal4,pedal4_sample_tick,pedal4_sample_time_sec,relative_path,composer,title,folder
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,193,59,277,0.277,49,345,0.345,40991,40.991,303,0.303,49,40991.0,40.991,48,41066.75,41.06675,46,41142.5,41.1425,44,41218.25,41.21825,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,194,71,303,0.303,79,732,0.732,41294,41.294,22,0.022,39,41294.0,41.294,39,41299.5,41.2995,39,41305.0,41.305,39,41310.5,41.3105,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,195,57,22,0.022,54,280,0.28,41316,41.316,275,0.275,37,41316.0,41.316,33,41384.75,41.38475,32,41453.5,41.4535,32,41522.25,41.52225,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,196,55,275,0.275,47,893,0.893,41591,41.591,317,0.317,0,41591.0,41.591,0,41670.25,41.67025,0,41749.5,41.7495,0,41828.75,41.82875,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,197,76,317,0.317,71,960,0.96,41908,41.908,2,0.002,0,41908.0,41.908,0,41908.5,41.9085,0,41909.0,41.909,0,41909.5,41.9095,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,198,72,2,0.002,67,929,0.929,41910,41.91,33,0.033,0,41910.0,41.91,0,41918.25,41.91825,0,41926.5,41.9265,0,41934.75,41.93475,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,199,60,33,0.033,50,328,0.328,41943,41.943,311,0.311,0,41943.0,41.943,0,42020.75,42.02075,0,42098.5,42.0985,0,42176.25,42.17625,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,200,59,311,0.311,47,331,0.331,42254,42.254,292,0.292,0,42254.0,42.254,0,42327.0,42.327,0,42400.0,42.4,0,42473.0,42.473,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,201,60,292,0.292,60,349,0.349,42546,42.546,283,0.283,0,42546.0,42.546,0,42616.75,42.61675,0,42687.5,42.6875,0,42758.25,42.75825,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,202,78,283,0.283,67,411,0.411,42829,42.829,3,0.003,0,42829.0,42.829,0,42829.75,42.82975,0,42830.5,42.8305,0,42831.25,42.83125,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,203,74,3,0.003,74,120,0.12,42832,42.832,14,0.014,0,42832.0,42.832,0,42835.5,42.8355,0,42839.0,42.839,0,42842.5,42.8425,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,204,57,14,0.014,53,315,0.315,42846,42.846,120,0.12,0,42846.0,42.846,0,42876.0,42.876,0,42906.0,42.906,0,42936.0,42.936,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,205,72,120,0.12,74,248,0.248,42966,42.966,168,0.168,0,42966.0,42.966,0,43008.0,43.008,0,43050.0,43.05,0,43092.0,43.092,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,206,71,168,0.168,69,918,0.918,43134,43.134,3,0.003,0,43134.0,43.134,0,43134.75,43.13475,0,43135.5,43.1355,0,43136.25,43.13625,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,207,79,3,0.003,74,2751,2.751,43137,43.137,13,0.013,0,43137.0,43.137,0,43140.25,43.14025,0,43143.5,43.1435,0,43146.75,43.14675,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,208,64,13,0.013,54,601,0.601,43150,43.15,303,0.303,0,43150.0,43.15,0,43225.75,43.22575,0,43301.5,43.3015,0,43377.25,43.37725,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,209,62,303,0.303,58,543,0.543,43453,43.453,290,0.29,0,43453.0,43.453,0,43525.5,43.5255,0,43598.0,43.598,0,43670.5,43.6705,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,210,76,290,0.29,77,1355,1.355,43743,43.743,32,0.032,0,43743.0,43.743,0,43751.0,43.751,0,43759.0,43.759,0,43767.0,43.767,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,211,60,32,0.032,51,273,0.273,43775,43.775,254,0.254,0,43775.0,43.775,0,43838.5,43.8385,0,43902.0,43.902,0,43965.5,43.9655,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,212,59,254,0.254,51,431,0.431,44029,44.029,307,0.307,0,44029.0,44.029,0,44105.75,44.10575,0,44182.5,44.1825,0,44259.25,44.25925,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,213,69,307,0.307,73,1637,1.637,44336,44.336,26,0.026,0,44336.0,44.336,0,44342.5,44.3425,0,44349.0,44.349,0,44355.5,44.3555,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,214,60,26,0.026,54,299,0.299,44362,44.362,285,0.285,0,44362.0,44.362,0,44433.25,44.43325,0,44504.5,44.5045,0,44575.75,44.57575,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,215,57,285,0.285,59,362,0.362,44647,44.647,289,0.289,0,44647.0,44.647,0,44719.25,44.71925,0,44791.5,44.7915,0,44863.75,44.86375,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,216,74,289,0.289,72,1046,1.046,44936,44.936,9,0.009,0,44936.0,44.936,0,44938.25,44.93825,0,44940.5,44.9405,0,44942.75,44.94275,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,217,59,9,0.009,48,427,0.427,44945,44.945,291,0.291,0,44945.0,44.945,0,45017.75,45.01775,0,45090.5,45.0905,0,45163.25,45.16325,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,218,60,291,0.291,52,369,0.369,45236,45.236,332,0.332,0,45236.0,45.236,0,45319.0,45.319,0,45402.0,45.402,0,45485.0,45.485,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,219,78,332,0.332,71,1429,1.429,45568,45.568,9,0.009,0,45568.0,45.568,0,45570.25,45.57025,0,45572.5,45.5725,0,45574.75,45.57475,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,220,62,9,0.009,45,410,0.41,45577,45.577,320,0.32,0,45577.0,45.577,0,45657.0,45.657,0,45737.0,45.737,0,45817.0,45.817,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,221,76,320,0.32,77,389,0.389,45897,45.897,8,0.008,0,45897.0,45.897,0,45899.0,45.899,0,45901.0,45.901,0,45903.0,45.903,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,222,60,8,0.008,52,380,0.38,45905,45.905,280,0.28,0,45905.0,45.905,0,45975.0,45.975,0,46045.0,46.045,0,46115.0,46.115,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,223,74,280,0.28,71,311,0.311,46185,46.185,12,0.012,0,46185.0,46.185,0,46188.0,46.188,0,46191.0,46.191,0,46194.0,46.194,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,224,59,12,0.012,52,303,0.303,46197,46.197,294,0.294,0,46197.0,46.197,0,46270.5,46.2705,0,46344.0,46.344,0,46417.5,46.4175,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,225,72,294,0.294,69,510,0.51,46491,46.491,4,0.004,0,46491.0,46.491,0,46492.0,46.492,0,46493.0,46.493,0,46494.0,46.494,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,226,57,4,0.004,65,466,0.466,46495,46.495,384,0.384,0,46495.0,46.495,0,46591.0,46.591,0,46687.0,46.687,0,46783.0,46.783,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,227,79,384,0.384,66,473,0.473,46879,46.879,9,0.009,0,46879.0,46.879,0,46881.25,46.88125,0,46883.5,46.8835,0,46885.75,46.88575,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,228,55,9,0.009,63,1079,1.079,46888,46.888,4,0.004,0,46888.0,46.888,0,46889.0,46.889,0,46890.0,46.89,0,46891.0,46.891,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,229,71,4,0.004,62,1104,1.104,46892,46.892,391,0.391,0,46892.0,46.892,0,46989.75,46.98975,0,47087.5,47.0875,0,47185.25,47.18525,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,230,77,391,0.391,63,582,0.582,47283,47.283,373,0.373,0,47283.0,47.283,0,47376.25,47.37625,0,47469.5,47.4695,0,47562.75,47.56275,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,231,43,373,0.373,78,736,0.736,47656,47.656,4,0.004,0,47656.0,47.656,0,47657.0,47.657,0,47658.0,47.658,0,47659.0,47.659,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,232,76,4,0.004,70,669,0.669,47660,47.66,326,0.326,0,47660.0,47.66,0,47741.5,47.7415,0,47823.0,47.823,64,47904.5,47.9045,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,233,74,326,0.326,71,406,0.406,47986,47.986,321,0.321,97,47986.0,47.986,107,48066.25,48.06625,109,48146.5,48.1465,109,48226.75,48.22675,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,234,72,321,0.321,70,295,0.295,48307,48.307,2,0.002,102,48307.0,48.307,102,48307.5,48.3075,102,48308.0,48.308,102,48308.5,48.3085,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,235,45,2,0.002,82,682,0.682,48309,48.309,311,0.311,102,48309.0,48.309,52,48386.75,48.38675,0,48464.5,48.4645,51,48542.25,48.54225,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,236,74,311,0.311,65,319,0.319,48620,48.62,286,0.286,76,48620.0,48.62,100,48691.5,48.6915,108,48763.0,48.763,110,48834.5,48.8345,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,237,62,286,0.286,79,421,0.421,48906,48.906,8,0.008,99,48906.0,48.906,99,48908.0,48.908,99,48910.0,48.91,99,48912.0,48.912,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,238,72,8,0.008,70,393,0.393,48914,48.914,4,0.004,99,48914.0,48.914,99,48915.0,48.915,99,48916.0,48.916,99,48917.0,48.917,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,239,47,4,0.004,71,760,0.76,48918,48.918,315,0.315,99,48918.0,48.918,37,48996.75,48.99675,51,49075.5,49.0755,90,49154.25,49.15425,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,240,71,315,0.315,61,430,0.43,49233,49.233,323,0.323,126,49233.0,49.233,126,49313.75,49.31375,126,49394.5,49.3945,126,49475.25,49.47525,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,241,64,323,0.323,75,710,0.71,49556,49.556,3,0.003,101,49556.0,49.556,101,49556.75,49.55675,101,49557.5,49.5575,101,49558.25,49.55825,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,242,69,3,0.003,75,325,0.325,49559,49.559,9,0.009,101,49559.0,49.559,101,49561.25,49.56125,101,49563.5,49.5635,101,49565.75,49.56575,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,243,48,9,0.009,67,910,0.91,49568,49.568,323,0.323,101,49568.0,49.568,63,49648.75,49.64875,0,49729.5,49.7295,0,49810.25,49.81025,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,244,72,323,0.323,59,530,0.53,49891,49.891,282,0.282,69,49891.0,49.891,78,49961.5,49.9615,75,50032.0,50.032,75,50102.5,50.1025,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,245,66,282,0.282,69,748,0.748,50173,50.173,3,0.003,70,50173.0,50.173,70,50173.75,50.17375,70,50174.5,50.1745,70,50175.25,50.17525,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,246,71,3,0.003,72,350,0.35,50176,50.176,301,0.301,70,50176.0,50.176,67,50251.25,50.25125,58,50326.5,50.3265,51,50401.75,50.40175,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,247,69,301,0.301,72,390,0.39,50477,50.477,7,0.007,42,50477.0,50.477,42,50478.75,50.47875,42,50480.5,50.4805,42,50482.25,50.48225,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,248,50,7,0.007,63,448,0.448,50484,50.484,146,0.146,42,50484.0,50.484,42,50520.5,50.5205,42,50557.0,50.557,42,50593.5,50.5935,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,249,48,146,0.146,66,261,0.261,50630,50.63,143,0.143,42,50630.0,50.63,42,50665.75,50.66575,42,50701.5,50.7015,42,50737.25,50.73725,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,250,67,143,0.143,76,976,0.976,50773,50.773,17,0.017,42,50773.0,50.773,42,50777.25,50.77725,42,50781.5,50.7815,42,50785.75,50.78575,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,251,47,17,0.017,54,855,0.855,50790,50.79,625,0.625,42,50790.0,50.79,38,50946.25,50.94625,0,51102.5,51.1025,0,51258.75,51.25875,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,252,52,625,0.625,71,771,0.771,51415,51.415,315,0.315,0,51415.0,51.415,0,51493.75,51.49375,0,51572.5,51.5725,0,51651.25,51.65125,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,253,69,315,0.315,66,278,0.278,51730,51.73,138,0.138,0,51730.0,51.73,0,51764.5,51.7645,0,51799.0,51.799,0,51833.5,51.8335,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,254,67,138,0.138,68,196,0.196,51868,51.868,150,0.15,0,51868.0,51.868,0,51905.5,51.9055,0,51943.0,51.943,0,51980.5,51.9805,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,255,66,150,0.15,75,981,0.981,52018,52.018,8,0.008,0,52018.0,52.018,0,52020.0,52.02,0,52022.0,52.022,0,52024.0,52.024,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,256,45,8,0.008,60,849,0.849,52026,52.026,320,0.32,0,52026.0,52.026,0,52106.0,52.106,0,52186.0,52.186,0,52266.0,52.266,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,257,72,320,0.32,57,593,0.593,52346,52.346,312,0.312,0,52346.0,52.346,0,52424.0,52.424,0,52502.0,52.502,0,52580.0,52.58,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
C:\Users\eagle\MARG_research\third_party\PianistTransformer\data\midis\asap-dataset-master\Bach\Fugue\bwv_846\Shi05M.mid,asap_metadata_performance,258,71,312,0.312,74,748,0.748,52658,52.658,6,0.006,0,52658.0,52.658,0,52659.5,52.6595,0,52661.0,52.661,0,52662.5,52.6625,Bach/Fugue/bwv_846/Shi05M.mid,Bach,Fugue_bwv_846,Bach/Fugue/bwv_846
